@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
662,'2019/02/19 23:26:37:258',4,998,9,9,1,0,0
663,'2019/02/19 23:26:37:278',4,998,9,10,1,0,0
664,'2019/02/19 23:26:37:289',4,996,10,9,1,0,0
665,'2019/02/19 23:26:37:298',4,998,9,8,1,0,0
666,'2019/02/19 23:26:37:309',4,999,10,10,1,0,0
667,'2019/02/19 23:26:37:320',4,999,10,10,1,0,0
668,'2019/02/19 23:26:37:320',4,998,10,9,1,0,0
669,'2019/02/19 23:26:37:339',4,998,9,9,1,0,0
670,'2019/02/19 23:26:37:348',4,997,9,10,1,0,0
671,'2019/02/19 23:26:37:359',4,998,11,10,1,0,0
672,'2019/02/19 23:26:37:369',4,999,9,9,1,0,0
673,'2019/02/19 23:26:37:380',4,999,10,9,1,0,0
674,'2019/02/19 23:26:37:390',4,999,9,9,1,0,0
675,'2019/02/19 23:26:37:400',4,999,10,9,1,0,0
676,'2019/02/19 23:26:37:409',4,996,10,10,1,0,0
677,'2019/02/19 23:26:37:420',4,997,10,10,1,0,0
678,'2019/02/19 23:26:37:430',4,999,10,10,1,0,0
679,'2019/02/19 23:26:37:440',4,998,10,10,1,0,0
680,'2019/02/19 23:26:37:449',4,997,9,9,1,0,0
681,'2019/02/19 23:26:37:460',4,999,9,10,1,0,0
682,'2019/02/19 23:26:37:468',4,998,9,9,1,0,0
683,'2019/02/19 23:26:37:480',4,997,9,9,1,0,0
684,'2019/02/19 23:26:37:490',4,999,10,10,1,0,0
685,'2019/02/19 23:26:37:499',4,1000,9,9,1,0,0
686,'2019/02/19 23:26:37:510',4,998,10,10,1,0,0
687,'2019/02/19 23:26:37:520',4,999,9,10,1,0,0
688,'2019/02/19 23:26:37:529',4,998,11,9,1,0,0
689,'2019/02/19 23:26:37:538',4,999,10,8,1,0,0
690,'2019/02/19 23:26:37:549',4,999,11,9,1,0,0
691,'2019/02/19 23:26:37:560',4,998,10,9,1,0,0
692,'2019/02/19 23:26:37:570',4,998,10,9,1,0,0
693,'2019/02/19 23:26:37:579',4,998,10,9,1,0,0
694,'2019/02/19 23:26:37:589',4,997,9,10,1,0,0
695,'2019/02/19 23:26:37:598',4,998,9,10,1,0,0
696,'2019/02/19 23:26:37:609',4,998,10,9,1,0,0
697,'2019/02/19 23:26:37:618',4,998,9,9,1,0,0
698,'2019/02/19 23:26:37:629',4,999,11,9,1,0,0
699,'2019/02/19 23:26:37:640',4,996,9,10,1,0,0
700,'2019/02/19 23:26:37:649',4,999,10,8,1,0,0
701,'2019/02/19 23:26:37:658',4,997,10,9,1,0,0
702,'2019/02/19 23:26:59:260',5,12,1020,9,0,1,0
703,'2019/02/19 23:26:59:269',5,12,1021,9,0,1,0
704,'2019/02/19 23:26:59:278',5,12,1021,9,0,1,0
705,'2019/02/19 23:26:59:290',5,13,1021,10,0,1,0
706,'2019/02/19 23:26:59:300',5,12,1020,10,0,1,0
707,'2019/02/19 23:26:59:309',5,11,1021,10,0,1,0
708,'2019/02/19 23:26:59:318',5,12,1022,9,0,1,0
709,'2019/02/19 23:26:59:329',5,12,1021,10,0,1,0
710,'2019/02/19 23:26:59:340',5,12,1021,9,0,1,0
711,'2019/02/19 23:26:59:350',5,12,1020,9,0,1,0
712,'2019/02/19 23:26:59:359',5,12,1022,9,0,1,0
713,'2019/02/19 23:26:59:370',5,12,1022,10,0,1,0
714,'2019/02/19 23:26:59:379',5,13,1019,10,0,1,0
715,'2019/02/19 23:26:59:388',5,12,1020,10,0,1,0
716,'2019/02/19 23:26:59:399',5,12,1021,9,0,1,0
717,'2019/02/19 23:26:59:408',5,12,1021,10,0,1,0
718,'2019/02/19 23:26:59:419',5,12,1021,11,0,1,0
719,'2019/02/19 23:26:59:430',5,11,1021,10,0,1,0
720,'2019/02/19 23:26:59:438',5,11,1021,10,0,1,0
721,'2019/02/19 23:26:59:448',5,13,1022,10,0,1,0
722,'2019/02/19 23:26:59:454',5,11,1021,10,0,1,0
723,'2019/02/19 23:26:59:468',5,12,1021,9,0,1,0
724,'2019/02/19 23:26:59:480',5,12,1021,10,0,1,0
725,'2019/02/19 23:26:59:480',5,12,1021,9,0,1,0
726,'2019/02/19 23:26:59:502',5,13,1022,9,0,1,0
727,'2019/02/19 23:26:59:511',5,12,1021,9,0,1,0
728,'2019/02/19 23:26:59:521',5,13,1022,10,0,1,0
729,'2019/02/19 23:26:59:531',5,12,1021,10,0,1,0
730,'2019/02/19 23:26:59:542',5,12,1021,10,0,1,0
731,'2019/02/19 23:26:59:552',5,12,1021,9,0,1,0
732,'2019/02/19 23:26:59:561',5,12,1021,10,0,1,0
733,'2019/02/19 23:26:59:571',5,12,1022,10,0,1,0
734,'2019/02/19 23:26:59:581',5,12,1021,10,0,1,0
735,'2019/02/19 23:26:59:588',5,12,1021,9,0,1,0
736,'2019/02/19 23:26:59:601',5,12,1021,10,0,1,0
737,'2019/02/19 23:26:59:608',5,11,1020,10,0,1,0
738,'2019/02/19 23:26:59:621',5,13,1021,9,0,1,0
739,'2019/02/19 23:26:59:632',5,12,1020,10,0,1,0
740,'2019/02/19 23:26:59:641',5,12,1021,9,0,1,0
741,'2019/02/19 23:26:59:651',5,13,1021,9,0,1,0
742,'2019/02/19 23:26:59:661',5,12,1021,9,0,1,0
743,'2019/02/19 23:26:59:671',5,11,1021,10,0,1,0
744,'2019/02/19 23:26:59:681',5,13,1021,10,0,1,0
745,'2019/02/19 23:26:59:691',5,12,1021,9,0,1,0
746,'2019/02/19 23:26:59:701',5,12,1021,9,0,1,0
747,'2019/02/19 23:26:59:712',5,12,1021,10,0,1,0
748,'2019/02/19 23:26:59:721',5,13,1021,10,0,1,0
749,'2019/02/19 23:26:59:732',5,13,1021,10,0,1,0
750,'2019/02/19 23:26:59:741',5,11,1020,9,0,1,0
751,'2019/02/19 23:26:59:751',5,13,1022,9,0,1,0
752,'2019/02/19 23:26:59:762',5,13,1021,9,0,1,0
753,'2019/02/19 23:26:59:771',5,12,1022,10,0,1,0
754,'2019/02/19 23:26:59:781',5,13,1021,9,0,1,0
755,'2019/02/19 23:26:59:792',5,11,1021,10,0,1,0
756,'2019/02/19 23:26:59:801',5,12,1021,11,0,1,0
757,'2019/02/19 23:26:59:812',5,12,1022,9,0,1,0
758,'2019/02/19 23:26:59:820',5,12,1022,9,0,1,0
759,'2019/02/19 23:26:59:831',5,11,1021,9,0,1,0
760,'2019/02/19 23:26:59:841',5,12,1022,10,0,1,0
761,'2019/02/19 23:26:59:851',5,13,1021,9,0,1,0
762,'2019/02/19 23:26:59:861',5,12,1021,9,0,1,0
763,'2019/02/19 23:26:59:872',5,12,1020,9,0,1,0
764,'2019/02/19 23:26:59:882',5,12,1022,10,0,1,0
765,'2019/02/19 23:26:59:891',5,12,1019,9,0,1,0
766,'2019/02/19 23:26:59:901',5,12,1021,10,0,1,0
767,'2019/02/19 23:26:59:911',5,13,1021,9,0,1,0
768,'2019/02/19 23:26:59:921',5,12,1022,10,0,1,0
769,'2019/02/19 23:26:59:931',5,12,1022,10,0,1,0
770,'2019/02/19 23:26:59:971',5,12,1022,10,0,1,0
771,'2019/02/19 23:26:59:971',5,12,1022,10,0,1,0
772,'2019/02/19 23:26:59:992',5,12,1020,9,0,1,0
773,'2019/02/19 23:27:00:002',5,12,1022,9,0,1,0
774,'2019/02/19 23:27:00:002',5,12,1021,9,0,1,0
775,'2019/02/19 23:27:00:017',5,11,1022,10,0,1,0
776,'2019/02/19 23:27:00:033',5,12,1022,10,0,1,0
777,'2019/02/19 23:27:00:050',5,13,1021,10,0,1,0
778,'2019/02/19 23:27:00:050',5,12,1021,9,0,1,0
779,'2019/02/19 23:27:00:066',5,12,1021,10,0,1,0
780,'2019/02/19 23:27:00:082',5,12,1022,10,0,1,0
781,'2019/02/19 23:27:00:094',5,11,1020,10,0,1,0
782,'2019/02/19 23:27:00:104',5,11,1021,10,0,1,0
783,'2019/02/19 23:27:00:104',5,13,1021,8,0,1,0
784,'2019/02/19 23:27:00:126',5,13,1021,10,0,1,0
785,'2019/02/19 23:27:00:135',5,11,1021,10,0,1,0
786,'2019/02/19 23:27:00:145',5,12,1021,9,0,1,0
787,'2019/02/19 23:27:00:155',5,12,1021,10,0,1,0
788,'2019/02/19 23:27:00:155',5,13,1021,9,0,1,0
789,'2019/02/19 23:27:00:171',5,13,1021,9,0,1,0
790,'2019/02/19 23:27:00:187',5,12,1022,9,0,1,0
791,'2019/02/19 23:27:00:202',5,12,1021,10,0,1,0
792,'2019/02/19 23:27:00:212',5,12,1021,10,0,1,0
793,'2019/02/19 23:27:00:222',5,12,1021,10,0,1,0
794,'2019/02/19 23:27:00:222',5,12,1021,10,0,1,0
795,'2019/02/19 23:27:00:242',5,12,1021,9,0,1,0
796,'2019/02/19 23:27:00:252',5,12,1021,9,0,1,0
797,'2019/02/19 23:27:00:263',5,14,1020,9,0,1,0
798,'2019/02/19 23:27:00:271',5,13,1022,9,0,1,0
799,'2019/02/19 23:27:00:282',5,12,1021,9,0,1,0
800,'2019/02/19 23:27:00:291',5,12,1022,10,0,1,0
801,'2019/02/19 23:27:00:303',5,13,1022,10,0,1,0
802,'2019/02/19 23:27:00:312',5,12,1019,10,0,1,0
803,'2019/02/19 23:27:00:322',5,12,1023,9,0,1,0
804,'2019/02/19 23:27:00:332',5,11,1022,9,0,1,0
805,'2019/02/19 23:27:00:343',5,13,1022,9,0,1,0
806,'2019/02/19 23:27:00:352',5,11,1021,9,0,1,0
807,'2019/02/19 23:27:00:362',5,12,1022,10,0,1,0
808,'2019/02/19 23:27:00:372',5,12,1022,10,0,1,0
809,'2019/02/19 23:27:00:383',5,12,1022,10,0,1,0
810,'2019/02/19 23:27:00:392',5,12,1022,10,0,1,0
811,'2019/02/19 23:27:00:402',5,11,1022,9,0,1,0
812,'2019/02/19 23:27:00:412',5,13,1021,9,0,1,0
813,'2019/02/19 23:27:00:423',5,12,1022,10,0,1,0
814,'2019/02/19 23:27:00:433',5,12,1022,11,0,1,0
815,'2019/02/19 23:27:00:442',5,13,1022,11,0,1,0
816,'2019/02/19 23:27:00:452',5,13,1020,10,0,1,0
817,'2019/02/19 23:27:00:461',5,12,1021,10,0,1,0
818,'2019/02/19 23:27:00:471',5,11,1021,10,0,1,0
819,'2019/02/19 23:27:00:482',5,11,1021,10,0,1,0
820,'2019/02/19 23:27:00:492',5,12,1022,9,0,1,0
821,'2019/02/19 23:27:00:503',5,12,1021,10,0,1,0
822,'2019/02/19 23:27:00:511',5,12,1022,10,0,1,0
823,'2019/02/19 23:27:00:521',5,13,1021,9,0,1,0
824,'2019/02/19 23:27:00:533',5,12,1022,11,0,1,0
825,'2019/02/19 23:27:00:542',5,13,1021,9,0,1,0
826,'2019/02/19 23:27:00:552',5,13,1022,10,0,1,0
827,'2019/02/19 23:27:00:561',5,13,1021,9,0,1,0
828,'2019/02/19 23:27:00:573',5,12,1022,10,0,1,0
829,'2019/02/19 23:27:00:582',5,13,1021,9,0,1,0
830,'2019/02/19 23:27:00:592',5,12,1022,10,0,1,0
831,'2019/02/19 23:27:00:601',5,12,1023,10,0,1,0
832,'2019/02/19 23:27:00:611',5,14,1022,10,0,1,0
833,'2019/02/19 23:27:00:622',5,12,1021,10,0,1,0
834,'2019/02/19 23:27:00:632',5,12,1021,10,0,1,0
835,'2019/02/19 23:27:00:643',5,13,1022,10,0,1,0
836,'2019/02/19 23:27:00:652',5,12,1023,10,0,1,0
837,'2019/02/19 23:27:00:662',5,12,1022,9,0,1,0
838,'2019/02/19 23:27:00:672',5,13,1022,10,0,1,0
839,'2019/02/19 23:27:00:683',5,13,1021,8,0,1,0
840,'2019/02/19 23:27:00:691',5,13,1022,9,0,1,0
841,'2019/02/19 23:27:00:702',5,12,1022,10,0,1,0
842,'2019/02/19 23:27:00:713',5,11,1022,10,0,1,0
843,'2019/02/19 23:27:00:721',5,12,1021,10,0,1,0
844,'2019/02/19 23:27:00:732',5,12,1021,9,0,1,0
845,'2019/02/19 23:27:00:738',5,12,1022,10,0,1,0
846,'2019/02/19 23:27:00:752',5,12,1020,10,0,1,0
847,'2019/02/19 23:27:00:762',5,12,1022,9,0,1,0
848,'2019/02/19 23:27:00:772',5,13,1022,10,0,1,0
849,'2019/02/19 23:27:00:782',5,11,1022,9,0,1,0
850,'2019/02/19 23:27:00:792',5,11,1020,9,0,1,0
851,'2019/02/19 23:27:00:802',5,13,1022,10,0,1,0
852,'2019/02/19 23:27:00:812',5,13,1022,10,0,1,0
853,'2019/02/19 23:27:00:822',5,13,1022,10,0,1,0
854,'2019/02/19 23:27:00:832',5,11,1022,10,0,1,0
855,'2019/02/19 23:27:00:842',5,12,1022,10,0,1,0
856,'2019/02/19 23:27:00:851',5,12,1022,10,0,1,0
857,'2019/02/19 23:27:00:862',5,13,1021,10,0,1,0
858,'2019/02/19 23:27:00:872',5,13,1021,10,0,1,0
859,'2019/02/19 23:27:00:883',5,12,1022,10,0,1,0
860,'2019/02/19 23:27:00:892',5,12,1022,9,0,1,0
861,'2019/02/19 23:27:00:902',5,12,1021,10,0,1,0
862,'2019/02/19 23:27:00:912',5,13,1022,10,0,1,0
863,'2019/02/19 23:27:00:922',5,12,1022,10,0,1,0
864,'2019/02/19 23:27:00:932',5,14,1021,10,0,1,0
865,'2019/02/19 23:27:00:941',5,13,1022,10,0,1,0
866,'2019/02/19 23:27:00:952',5,12,1022,10,0,1,0
867,'2019/02/19 23:27:00:961',5,12,1022,10,0,1,0
868,'2019/02/19 23:27:00:971',5,13,1022,10,0,1,0
869,'2019/02/19 23:27:00:983',5,12,1022,10,0,1,0
870,'2019/02/19 23:27:00:991',5,12,1023,10,0,1,0
871,'2019/02/19 23:27:01:003',5,12,1022,9,0,1,0
872,'2019/02/19 23:27:31:368',6,13,10,1023,0,0,1
873,'2019/02/19 23:27:31:377',6,12,9,1023,0,0,1
874,'2019/02/19 23:27:31:386',6,12,10,1023,0,0,1
875,'2019/02/19 23:27:31:396',6,13,11,1023,0,0,1
876,'2019/02/19 23:27:31:407',6,12,11,1023,0,0,1
877,'2019/02/19 23:27:31:417',6,11,10,1023,0,0,1
878,'2019/02/19 23:27:31:426',6,13,10,1023,0,0,1
879,'2019/02/19 23:27:31:436',6,12,10,1023,0,0,1
880,'2019/02/19 23:27:31:446',6,12,9,1023,0,0,1
881,'2019/02/19 23:27:31:458',6,12,10,1023,0,0,1
882,'2019/02/19 23:27:31:466',6,14,9,1023,0,0,1
883,'2019/02/19 23:27:31:477',6,13,9,1023,0,0,1
884,'2019/02/19 23:27:31:486',6,12,9,1023,0,0,1
885,'2019/02/19 23:27:31:497',6,11,10,1023,0,0,1
886,'2019/02/19 23:27:31:507',6,12,10,1023,0,0,1
887,'2019/02/19 23:27:31:517',6,13,9,1023,0,0,1
888,'2019/02/19 23:27:31:527',6,13,10,1023,0,0,1
889,'2019/02/19 23:27:31:537',6,13,10,1022,0,0,1
890,'2019/02/19 23:27:31:548',6,13,11,1023,0,0,1
891,'2019/02/19 23:27:31:557',6,12,8,1022,0,0,1
892,'2019/02/19 23:27:31:567',6,13,9,1022,0,0,1
893,'2019/02/19 23:27:31:576',6,12,10,1023,0,0,1
894,'2019/02/19 23:27:31:588',6,13,9,1023,0,0,1
895,'2019/02/19 23:27:31:597',6,12,10,1023,0,0,1
896,'2019/02/19 23:27:31:607',6,12,9,1022,0,0,1
897,'2019/02/19 23:27:31:617',6,13,10,1023,0,0,1
898,'2019/02/19 23:27:31:626',6,13,10,1023,0,0,1
899,'2019/02/19 23:27:31:637',6,14,9,1023,0,0,1
900,'2019/02/19 23:27:31:648',6,13,9,1022,0,0,1
901,'2019/02/19 23:27:31:657',6,12,10,1023,0,0,1
902,'2019/02/19 23:27:31:667',6,12,9,1023,0,0,1
903,'2019/02/19 23:27:31:676',6,12,10,1023,0,0,1
904,'2019/02/19 23:27:31:686',6,12,10,1023,0,0,1
905,'2019/02/19 23:27:31:697',6,12,10,1023,0,0,1
906,'2019/02/19 23:27:31:708',6,13,10,1023,0,0,1
907,'2019/02/19 23:27:31:716',6,12,9,1023,0,0,1
908,'2019/02/19 23:27:31:726',6,12,10,1023,0,0,1
909,'2019/02/19 23:27:31:737',6,12,10,1022,0,0,1
910,'2019/02/19 23:27:31:747',6,14,10,1021,0,0,1
911,'2019/02/19 23:27:31:756',6,13,10,1023,0,0,1
912,'2019/02/19 23:27:31:767',6,13,10,1023,0,0,1
913,'2019/02/19 23:27:31:777',6,12,10,1023,0,0,1
914,'2019/02/19 23:27:31:786',6,13,10,1023,0,0,1
915,'2019/02/19 23:27:31:797',6,12,10,1023,0,0,1
916,'2019/02/19 23:27:31:807',6,12,10,1022,0,0,1
917,'2019/02/19 23:27:31:816',6,13,10,1023,0,0,1
918,'2019/02/19 23:27:31:827',6,13,10,1023,0,0,1
919,'2019/02/19 23:27:31:837',6,13,9,1023,0,0,1
920,'2019/02/19 23:27:31:846',6,13,9,1023,0,0,1
921,'2019/02/19 23:27:31:858',6,12,9,1023,0,0,1
922,'2019/02/19 23:27:31:866',6,12,10,1023,0,0,1
923,'2019/02/19 23:27:31:877',6,12,9,1023,0,0,1
924,'2019/02/19 23:27:31:888',6,13,10,1023,0,0,1
925,'2019/02/19 23:27:31:896',6,12,9,1023,0,0,1
926,'2019/02/19 23:27:31:907',6,12,11,1023,0,0,1
927,'2019/02/19 23:27:31:914',6,11,9,1023,0,0,1
928,'2019/02/19 23:27:31:928',6,12,10,1023,0,0,1
929,'2019/02/19 23:27:31:937',6,12,10,1023,0,0,1
930,'2019/02/19 23:27:31:947',6,12,10,1023,0,0,1
931,'2019/02/19 23:27:31:958',6,12,9,1023,0,0,1
932,'2019/02/19 23:27:31:967',6,12,10,1023,0,0,1
933,'2019/02/19 23:27:31:976',6,12,9,1023,0,0,1
934,'2019/02/19 23:27:31:987',6,13,9,1023,0,0,1
935,'2019/02/19 23:27:31:997',6,12,9,1023,0,0,1
936,'2019/02/19 23:27:32:007',6,13,11,1023,0,0,1
937,'2019/02/19 23:27:32:017',6,13,9,1023,0,0,1
938,'2019/02/19 23:27:32:026',6,12,9,1023,0,0,1
939,'2019/02/19 23:27:32:037',6,13,11,1023,0,0,1
940,'2019/02/19 23:27:32:048',6,12,10,1023,0,0,1
941,'2019/02/19 23:27:32:056',6,12,10,1023,0,0,1
942,'2019/02/19 23:27:32:067',6,13,10,1023,0,0,1
943,'2019/02/19 23:27:32:076',6,12,9,1023,0,0,1
944,'2019/02/19 23:27:32:088',6,13,10,1023,0,0,1
945,'2019/02/19 23:27:32:096',6,12,11,1023,0,0,1
946,'2019/02/19 23:27:32:107',6,12,10,1023,0,0,1
947,'2019/02/19 23:27:32:114',6,12,9,1023,0,0,1
948,'2019/02/19 23:27:32:128',6,12,9,1023,0,0,1
949,'2019/02/19 23:27:32:128',6,12,10,1023,0,0,1
950,'2019/02/19 23:27:32:148',6,13,9,1023,0,0,1
951,'2019/02/19 23:27:32:159',6,13,10,1023,0,0,1
952,'2019/02/19 23:27:32:166',6,14,9,1023,0,0,1
953,'2019/02/19 23:27:32:180',6,12,11,1023,0,0,1
954,'2019/02/19 23:27:32:189',6,13,10,1023,0,0,1
955,'2019/02/19 23:27:32:199',6,12,11,1023,0,0,1
956,'2019/02/19 23:27:32:210',6,12,9,1023,0,0,1
957,'2019/02/19 23:27:32:219',6,11,9,1023,0,0,1
958,'2019/02/19 23:27:32:229',6,12,10,1022,0,0,1
959,'2019/02/19 23:27:32:239',6,13,10,1023,0,0,1
960,'2019/02/19 23:27:32:249',6,12,11,1023,0,0,1
961,'2019/02/19 23:27:32:258',6,13,9,1022,0,0,1
962,'2019/02/19 23:27:32:269',6,13,10,1021,0,0,1
963,'2019/02/19 23:27:32:278',6,13,10,1023,0,0,1
964,'2019/02/19 23:27:32:289',6,12,9,1023,0,0,1
965,'2019/02/19 23:27:32:299',6,13,10,1023,0,0,1
966,'2019/02/19 23:27:32:310',6,13,10,1023,0,0,1
967,'2019/02/19 23:27:32:318',6,12,10,1023,0,0,1
968,'2019/02/19 23:27:32:328',6,13,11,1022,0,0,1
969,'2019/02/19 23:27:32:340',6,12,10,1023,0,0,1
970,'2019/02/19 23:27:32:349',6,12,10,1023,0,0,1
971,'2019/02/19 23:27:32:360',6,13,10,1022,0,0,1
972,'2019/02/19 23:27:32:368',6,13,10,1023,0,0,1
973,'2019/02/19 23:27:32:379',6,12,11,1022,0,0,1
974,'2019/02/19 23:27:32:389',6,12,9,1021,0,0,1
975,'2019/02/19 23:27:32:399',6,13,10,1023,0,0,1
976,'2019/02/19 23:27:32:410',6,12,10,1023,0,0,1
977,'2019/02/19 23:27:32:419',6,12,9,1022,0,0,1
978,'2019/02/19 23:27:32:428',6,13,9,1023,0,0,1
979,'2019/02/19 23:27:32:439',6,13,10,1023,0,0,1
980,'2019/02/19 23:27:32:449',6,13,10,1023,0,0,1
981,'2019/02/19 23:27:32:459',6,12,9,1022,0,0,1
982,'2019/02/19 23:27:32:469',6,12,9,1023,0,0,1
983,'2019/02/19 23:27:32:480',6,13,10,1023,0,0,1
984,'2019/02/19 23:27:32:489',6,13,9,1023,0,0,1
985,'2019/02/19 23:27:32:499',6,13,10,1022,0,0,1
986,'2019/02/19 23:27:32:510',6,12,9,1023,0,0,1
987,'2019/02/19 23:27:32:519',6,12,10,1023,0,0,1
988,'2019/02/19 23:27:32:528',6,12,10,1023,0,0,1
989,'2019/02/19 23:27:32:539',6,14,11,1023,0,0,1
990,'2019/02/19 23:27:32:549',6,12,10,1023,0,0,1
991,'2019/02/19 23:27:32:559',6,13,9,1023,0,0,1
992,'2019/02/19 23:27:32:569',6,13,10,1023,0,0,1
993,'2019/02/19 23:27:32:578',6,14,10,1023,0,0,1
994,'2019/02/19 23:27:32:588',6,12,10,1022,0,0,1
995,'2019/02/19 23:27:32:598',6,13,8,1023,0,0,1
996,'2019/02/19 23:27:32:608',6,12,9,1023,0,0,1
997,'2019/02/19 23:27:32:619',6,12,9,1023,0,0,1
998,'2019/02/19 23:27:32:628',6,13,10,1023,0,0,1
999,'2019/02/19 23:27:32:639',6,12,10,1023,0,0,1
1000,'2019/02/19 23:27:32:650',6,13,10,1023,0,0,1
1001,'2019/02/19 23:27:32:659',6,12,10,1023,0,0,1
1002,'2019/02/19 23:27:32:669',6,13,10,1023,0,0,1
1003,'2019/02/19 23:27:32:679',6,12,10,1023,0,0,1
1004,'2019/02/19 23:27:32:690',6,13,10,1022,0,0,1
1005,'2019/02/19 23:27:32:699',6,12,10,1023,0,0,1
1006,'2019/02/19 23:27:32:708',6,12,10,1023,0,0,1
1007,'2019/02/19 23:27:32:715',6,12,10,1022,0,0,1
1008,'2019/02/19 23:27:32:729',6,13,9,1023,0,0,1
1009,'2019/02/19 23:27:32:739',6,11,10,1023,0,0,1
1010,'2019/02/19 23:27:32:750',6,14,10,1023,0,0,1
1011,'2019/02/19 23:27:32:759',6,13,9,1023,0,0,1
1012,'2019/02/19 23:27:32:769',6,12,10,1023,0,0,1
1013,'2019/02/19 23:27:32:778',6,13,10,1023,0,0,1
1014,'2019/02/19 23:27:32:789',6,12,10,1021,0,0,1
1015,'2019/02/19 23:27:32:800',6,11,10,1023,0,0,1
1016,'2019/02/19 23:27:32:809',6,13,9,1023,0,0,1
1017,'2019/02/19 23:27:32:818',6,11,10,1023,0,0,1
1018,'2019/02/19 23:27:32:829',6,13,9,1023,0,0,1
1019,'2019/02/19 23:27:32:838',6,12,10,1023,0,0,1
1020,'2019/02/19 23:27:32:849',6,12,9,1023,0,0,1
1021,'2019/02/19 23:27:32:859',6,12,10,1023,0,0,1
1022,'2019/02/19 23:27:32:866',6,12,10,1023,0,0,1
1023,'2019/02/19 23:27:32:879',6,12,9,1023,0,0,1
1024,'2019/02/19 23:27:32:889',6,11,10,1023,0,0,1
1025,'2019/02/19 23:27:32:899',6,12,10,1022,0,0,1
1026,'2019/02/19 23:27:32:910',6,12,10,1022,0,0,1
1027,'2019/02/19 23:27:32:918',6,13,10,1023,0,0,1
1028,'2019/02/19 23:27:32:928',6,13,11,1023,0,0,1
1029,'2019/02/19 23:27:32:939',6,12,10,1023,0,0,1
1030,'2019/02/19 23:27:32:949',6,13,10,1023,0,0,1
1031,'2019/02/19 23:27:32:959',6,13,10,1021,0,0,1
1032,'2019/02/19 23:27:32:969',6,12,9,1022,0,0,1
1033,'2019/02/19 23:27:32:980',6,12,9,1022,0,0,1
1034,'2019/02/19 23:27:32:990',6,12,10,1023,0,0,1
1035,'2019/02/19 23:27:32:999',6,12,10,1023,0,0,1
1036,'2019/02/19 23:27:33:009',6,13,10,1023,0,0,1
1037,'2019/02/19 23:27:33:018',6,11,10,1023,0,0,1
1038,'2019/02/19 23:27:33:029',6,11,10,1023,0,0,1
1039,'2019/02/19 23:27:33:059',6,12,11,1023,0,0,1
1040,'2019/02/19 23:27:33:059',6,12,10,1023,0,0,1
1041,'2019/02/19 23:27:33:076',6,12,9,1023,0,0,1
1042,'2019/02/19 23:27:33:086',6,13,10,1023,0,0,1
1043,'2019/02/19 23:27:33:096',6,13,9,1023,0,0,1
1044,'2019/02/19 23:27:33:106',6,13,10,1023,0,0,1
1045,'2019/02/19 23:27:33:117',6,12,9,1023,0,0,1
1046,'2019/02/19 23:27:33:127',6,13,10,1023,0,0,1
1047,'2019/02/19 23:27:33:135',6,12,10,1023,0,0,1
1048,'2019/02/19 23:27:33:147',6,13,9,1023,0,0,1
1049,'2019/02/19 23:27:33:155',6,13,10,1023,0,0,1
1050,'2019/02/19 23:27:33:165',6,13,10,1023,0,0,1
1051,'2019/02/19 23:27:33:176',6,14,10,1022,0,0,1
1052,'2019/02/19 23:27:33:186',6,13,10,1023,0,0,1
1053,'2019/02/19 23:27:33:195',6,12,9,1023,0,0,1
1054,'2019/02/19 23:27:33:206',6,12,10,1023,0,0,1
1055,'2019/02/19 23:27:33:216',6,14,11,1022,0,0,1
1056,'2019/02/19 23:27:33:225',6,12,10,1023,0,0,1
1057,'2019/02/19 23:27:33:237',6,14,9,1023,0,0,1
1058,'2019/02/19 23:27:33:246',6,12,10,1023,0,0,1
1059,'2019/02/19 23:27:33:255',6,11,9,1020,0,0,1
1060,'2019/02/19 23:27:33:266',6,13,9,1023,0,0,1
1061,'2019/02/19 23:27:33:275',6,12,10,1022,0,0,1
1062,'2019/02/19 23:27:33:282',6,11,10,1023,0,0,1
1063,'2019/02/19 23:27:33:295',6,12,10,1023,0,0,1
1064,'2019/02/19 23:27:33:307',6,12,10,1023,0,0,1
1065,'2019/02/19 23:27:33:316',6,11,9,1023,0,0,1
1066,'2019/02/19 23:27:33:326',6,13,10,1023,0,0,1
1067,'2019/02/19 23:27:33:337',6,12,10,1020,0,0,1
1068,'2019/02/19 23:27:33:346',6,12,10,1023,0,0,1
1069,'2019/02/19 23:27:33:357',6,13,10,1023,0,0,1
1070,'2019/02/19 23:27:33:365',6,13,10,1023,0,0,1
1071,'2019/02/19 23:27:33:376',6,12,10,1023,0,0,1
1072,'2019/02/19 23:27:33:387',6,12,10,1023,0,0,1
1073,'2019/02/19 23:27:33:397',6,12,10,1023,0,0,1
1074,'2019/02/19 23:27:33:406',6,12,9,1023,0,0,1
1075,'2019/02/19 23:27:33:416',6,12,10,1023,0,0,1
1076,'2019/02/19 23:27:33:427',6,12,10,1023,0,0,1
1077,'2019/02/19 23:27:33:437',6,13,10,1023,0,0,1
1078,'2019/02/19 23:27:33:446',6,13,9,1023,0,0,1
1079,'2019/02/19 23:27:33:457',6,12,10,1023,0,0,1
