@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
344,'2019/02/19 23:26:20:033',3,12,9,9,0,0,0
345,'2019/02/19 23:26:20:044',3,13,9,9,0,0,0
346,'2019/02/19 23:26:20:055',3,13,10,9,0,0,0
347,'2019/02/19 23:26:20:055',3,12,9,9,0,0,0
348,'2019/02/19 23:26:20:074',3,13,10,10,0,0,0
349,'2019/02/19 23:26:20:085',3,11,10,10,0,0,0
350,'2019/02/19 23:26:20:085',3,14,9,9,0,0,0
351,'2019/02/19 23:26:20:105',3,12,10,10,0,0,0
352,'2019/02/19 23:26:20:115',3,12,10,9,0,0,0
353,'2019/02/19 23:26:20:125',3,12,9,9,0,0,0
354,'2019/02/19 23:26:20:136',3,12,10,10,0,0,0
355,'2019/02/19 23:26:20:136',3,13,10,10,0,0,0
356,'2019/02/19 23:26:20:156',3,12,10,10,0,0,0
357,'2019/02/19 23:26:20:166',3,12,9,10,0,0,0
358,'2019/02/19 23:26:20:176',3,12,10,9,0,0,0
359,'2019/02/19 23:26:20:187',3,12,10,10,0,0,0
360,'2019/02/19 23:26:20:196',3,11,10,9,0,0,0
361,'2019/02/19 23:26:20:206',3,12,9,11,0,0,0
362,'2019/02/19 23:26:20:217',3,12,9,10,0,0,0
363,'2019/02/19 23:26:20:227',3,12,10,10,0,0,0
364,'2019/02/19 23:26:20:237',3,12,10,10,0,0,0
365,'2019/02/19 23:26:20:246',3,13,10,10,0,0,0
366,'2019/02/19 23:26:20:256',3,12,10,9,0,0,0
367,'2019/02/19 23:26:20:266',3,12,10,9,0,0,0
368,'2019/02/19 23:26:20:273',3,12,10,10,0,0,0
369,'2019/02/19 23:26:20:286',3,12,10,10,0,0,0
370,'2019/02/19 23:26:20:296',3,12,10,9,0,0,0
371,'2019/02/19 23:26:20:306',3,13,10,10,0,0,0
372,'2019/02/19 23:26:20:316',3,11,10,9,0,0,0
373,'2019/02/19 23:26:20:325',3,10,10,9,0,0,0
374,'2019/02/19 23:26:20:337',3,13,9,9,0,0,0
375,'2019/02/19 23:26:20:346',3,12,10,9,0,0,0
376,'2019/02/19 23:26:20:357',3,13,10,9,0,0,0
377,'2019/02/19 23:26:20:366',3,12,9,10,0,0,0
378,'2019/02/19 23:26:20:373',3,12,10,10,0,0,0
379,'2019/02/19 23:26:20:386',3,12,10,10,0,0,0
380,'2019/02/19 23:26:20:396',3,11,9,9,0,0,0
381,'2019/02/19 23:26:20:407',3,13,10,9,0,0,0
382,'2019/02/19 23:26:20:416',3,11,11,9,0,0,0
383,'2019/02/19 23:26:20:426',3,13,9,9,0,0,0
384,'2019/02/19 23:26:20:437',3,13,10,9,0,0,0
385,'2019/02/19 23:26:20:446',3,13,10,9,0,0,0
386,'2019/02/19 23:26:20:457',3,11,10,8,0,0,0
387,'2019/02/19 23:26:20:466',3,11,10,10,0,0,0
388,'2019/02/19 23:26:20:477',3,11,9,10,0,0,0
389,'2019/02/19 23:26:20:486',3,11,10,10,0,0,0
390,'2019/02/19 23:26:20:496',3,12,10,10,0,0,0
391,'2019/02/19 23:26:20:506',3,12,10,9,0,0,0
392,'2019/02/19 23:26:20:516',3,12,9,10,0,0,0
393,'2019/02/19 23:26:20:526',3,12,10,9,0,0,0
394,'2019/02/19 23:26:20:537',3,12,10,9,0,0,0
395,'2019/02/19 23:26:20:547',3,13,10,10,0,0,0
396,'2019/02/19 23:26:20:557',3,12,9,9,0,0,0
397,'2019/02/19 23:26:20:567',3,11,11,10,0,0,0
398,'2019/02/19 23:26:20:576',3,12,10,9,0,0,0
399,'2019/02/19 23:26:20:587',3,13,10,9,0,0,0
400,'2019/02/19 23:26:20:596',3,12,10,10,0,0,0
401,'2019/02/19 23:26:20:607',3,12,10,10,0,0,0
402,'2019/02/19 23:26:20:616',3,11,9,9,0,0,0
403,'2019/02/19 23:26:20:626',3,12,9,9,0,0,0
404,'2019/02/19 23:26:20:626',3,12,10,10,0,0,0
405,'2019/02/19 23:26:20:646',3,12,10,9,0,0,0
406,'2019/02/19 23:26:20:646',3,12,9,9,0,0,0
407,'2019/02/19 23:26:20:662',3,12,10,9,0,0,0
408,'2019/02/19 23:26:20:679',3,11,9,10,0,0,0
409,'2019/02/19 23:26:20:689',3,12,10,8,0,0,0
410,'2019/02/19 23:26:20:699',3,12,10,10,0,0,0
411,'2019/02/19 23:26:20:710',3,12,10,10,0,0,0
412,'2019/02/19 23:26:20:719',3,12,10,10,0,0,0
413,'2019/02/19 23:26:20:730',3,12,10,10,0,0,0
414,'2019/02/19 23:26:20:739',3,12,10,10,0,0,0
415,'2019/02/19 23:26:20:750',3,12,11,10,0,0,0
416,'2019/02/19 23:26:20:759',3,12,8,9,0,0,0
417,'2019/02/19 23:26:20:770',3,13,9,10,0,0,0
418,'2019/02/19 23:26:20:779',3,12,9,10,0,0,0
419,'2019/02/19 23:26:20:789',3,13,10,10,0,0,0
420,'2019/02/19 23:26:20:800',3,12,10,9,0,0,0
421,'2019/02/19 23:26:20:809',3,13,10,9,0,0,0
422,'2019/02/19 23:26:20:820',3,12,9,8,0,0,0
423,'2019/02/19 23:26:20:829',3,12,10,9,0,0,0
424,'2019/02/19 23:26:20:841',3,12,10,10,0,0,0
425,'2019/02/19 23:26:20:849',3,12,10,10,0,0,0
426,'2019/02/19 23:26:20:861',3,12,10,9,0,0,0
427,'2019/02/19 23:26:20:869',3,12,10,9,0,0,0
428,'2019/02/19 23:26:20:881',3,10,10,9,0,0,0
429,'2019/02/19 23:26:20:891',3,13,10,11,0,0,0
430,'2019/02/19 23:26:20:899',3,12,10,10,0,0,0
431,'2019/02/19 23:26:20:910',3,11,10,10,0,0,0
432,'2019/02/19 23:26:20:919',3,13,11,10,0,0,0
433,'2019/02/19 23:26:20:929',3,12,9,9,0,0,0
434,'2019/02/19 23:26:20:940',3,12,10,10,0,0,0
435,'2019/02/19 23:26:20:951',3,12,10,10,0,0,0
436,'2019/02/19 23:26:20:959',3,10,8,10,0,0,0
437,'2019/02/19 23:26:20:971',3,11,10,10,0,0,0
438,'2019/02/19 23:26:20:980',3,12,10,10,0,0,0
439,'2019/02/19 23:26:20:990',3,12,9,10,0,0,0
440,'2019/02/19 23:26:21:001',3,12,9,8,0,0,0
441,'2019/02/19 23:26:21:001',3,12,10,10,0,0,0
442,'2019/02/19 23:26:21:023',3,12,10,8,0,0,0
