@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
443,'2019/02/13 09:20:10:698',2,179,82,110,110,2
444,'2019/02/13 09:20:10:823',2,181,70,112,112,2
445,'2019/02/13 09:20:10:952',2,182,64,110,110,2
446,'2019/02/13 09:20:11:076',2,179,59,111,111,2
447,'2019/02/13 09:20:11:201',2,180,57,112,112,2
448,'2019/02/13 09:20:11:326',2,182,58,113,113,2
449,'2019/02/13 09:20:11:438',2,189,62,109,109,2
450,'2019/02/13 09:20:11:563',2,194,63,109,109,2
451,'2019/02/13 09:20:11:688',2,200,64,107,107,2
452,'2019/02/13 09:20:11:813',2,205,65,106,106,2
453,'2019/02/13 09:20:11:938',2,211,65,101,101,2
454,'2019/02/13 09:20:12:061',2,209,66,103,103,2
455,'2019/02/13 09:20:12:186',2,202,69,108,108,2
456,'2019/02/13 09:20:12:311',2,191,78,111,111,2
457,'2019/02/13 09:20:12:439',2,179,86,110,110,2
458,'2019/02/13 09:20:12:564',2,168,92,110,110,2
459,'2019/02/13 09:20:12:689',2,156,103,105,105,2
460,'2019/02/13 09:20:12:829',2,142,112,107,107,2
461,'2019/02/13 09:20:12:958',2,129,122,100,100,2
462,'2019/02/13 09:20:13:076',2,118,131,95,95,2
463,'2019/02/13 09:20:13:201',2,109,140,88,88,2
464,'2019/02/13 09:20:13:326',2,103,142,87,87,2
465,'2019/02/13 09:20:13:452',2,94,147,83,83,2
466,'2019/02/13 09:20:13:577',2,86,154,78,78,2
467,'2019/02/13 09:20:13:702',2,81,161,72,72,2
468,'2019/02/13 09:20:13:961',2,71,164,72,72,2
469,'2019/02/13 09:20:14:076',2,66,163,72,72,2
470,'2019/02/13 09:20:14:201',2,64,162,72,72,2
471,'2019/02/13 09:20:14:326',2,64,164,71,71,2
472,'2019/02/13 09:20:14:453',2,63,164,71,71,2
473,'2019/02/13 09:20:14:578',2,64,159,75,75,2
474,'2019/02/13 09:20:14:703',2,67,160,72,72,2
475,'2019/02/13 09:20:14:828',2,67,158,74,74,2
476,'2019/02/13 09:20:14:963',2,68,157,76,76,2
477,'2019/02/13 09:20:15:076',2,69,156,75,75,2
478,'2019/02/13 09:20:39:264',3,11,41,149,149,3
479,'2019/02/13 09:20:39:389',3,11,42,147,147,3
480,'2019/02/13 09:20:39:515',3,9,40,150,150,3
481,'2019/02/13 09:20:39:655',3,9,40,148,148,3
482,'2019/02/13 09:20:39:780',3,8,40,148,148,3
483,'2019/02/13 09:20:39:905',3,9,40,148,148,3
484,'2019/02/13 09:20:40:029',3,11,40,144,144,3
485,'2019/02/13 09:20:40:154',3,11,36,150,150,3
486,'2019/02/13 09:20:40:279',3,15,32,149,149,3
487,'2019/02/13 09:20:40:415',3,18,30,153,153,3
488,'2019/02/13 09:20:40:526',3,23,27,157,157,3
489,'2019/02/13 09:20:40:651',3,27,26,155,155,3
490,'2019/02/13 09:20:40:776',3,29,25,156,156,3
491,'2019/02/13 09:20:40:900',3,31,25,159,159,3
492,'2019/02/13 09:20:41:029',3,33,27,158,158,3
493,'2019/02/13 09:20:41:154',3,32,27,157,157,3
494,'2019/02/13 09:20:41:279',3,27,26,156,156,3
495,'2019/02/13 09:20:41:417',3,23,25,158,158,3
496,'2019/02/13 09:20:41:530',3,19,26,155,155,3
497,'2019/02/13 09:20:41:655',3,14,27,153,153,3
498,'2019/02/13 09:20:41:780',3,9,29,147,147,3
499,'2019/02/13 09:20:41:905',3,6,32,141,141,3
500,'2019/02/13 09:20:42:029',3,4,33,140,140,3
501,'2019/02/13 09:20:42:154',3,3,35,135,135,3
502,'2019/02/13 09:20:42:279',3,0,37,135,135,3
503,'2019/02/13 09:20:45:651',3,5,98,132,132,3
504,'2019/02/13 09:20:45:761',3,7,92,138,138,3
505,'2019/02/13 09:20:45:885',3,9,93,136,136,3
506,'2019/02/13 09:20:46:013',3,14,90,134,134,3
507,'2019/02/13 09:20:46:138',3,13,84,137,137,3
508,'2019/02/13 09:20:46:263',3,11,78,142,142,3
509,'2019/02/13 09:20:46:388',3,10,69,144,144,3
510,'2019/02/13 09:20:46:516',3,7,63,146,146,3
511,'2019/02/13 09:20:46:641',3,5,58,146,146,3
512,'2019/02/13 09:20:46:766',3,4,55,144,144,3
513,'2019/02/13 09:20:46:891',3,4,52,143,143,3
514,'2019/02/13 09:20:47:014',3,3,53,142,142,3
515,'2019/02/13 09:20:47:136',3,1,47,150,150,3
516,'2019/02/13 09:20:47:261',3,2,45,154,154,3
517,'2019/02/13 09:20:47:386',3,4,43,157,157,3
518,'2019/02/13 09:20:47:511',3,3,43,147,147,3
519,'2019/02/13 09:20:47:636',3,1,46,142,142,3
520,'2019/02/13 09:20:47:761',3,1,45,145,145,3
521,'2019/02/13 09:20:47:886',3,2,45,143,143,3
522,'2019/02/13 09:20:48:014',3,3,43,150,150,3
523,'2019/02/13 09:20:48:139',3,4,38,157,157,3
524,'2019/02/13 09:20:48:264',3,7,37,158,158,3
525,'2019/02/13 09:20:48:389',3,8,34,161,161,3
526,'2019/02/13 09:20:48:516',3,10,33,163,163,3
527,'2019/02/13 09:20:48:641',3,10,34,166,166,3
528,'2019/02/13 09:20:48:766',3,10,34,165,165,3
529,'2019/02/13 09:20:48:891',3,9,33,164,164,3
530,'2019/02/13 09:20:49:014',3,9,33,163,163,3
531,'2019/02/13 09:20:49:139',3,10,32,164,164,3
532,'2019/02/13 09:20:49:264',3,15,28,172,172,3
533,'2019/02/13 09:20:49:389',3,19,31,160,160,3
534,'2019/02/13 09:20:49:501',3,13,29,161,161,3
535,'2019/02/13 09:20:49:626',3,9,30,157,157,3
536,'2019/02/13 09:20:49:751',3,2,27,155,155,3
537,'2019/02/13 09:20:49:891',3,1,32,140,140,3
538,'2019/02/13 09:20:50:868',3,3,28,147,147,3
539,'2019/02/13 09:20:51:004',3,3,25,152,152,3
540,'2019/02/13 09:20:51:123',3,7,24,156,156,3
541,'2019/02/13 09:20:51:240',3,10,23,162,162,3
542,'2019/02/13 09:20:51:365',3,11,24,161,161,3
543,'2019/02/13 09:20:51:505',3,13,23,164,164,3
544,'2019/02/13 09:20:51:630',3,16,23,164,164,3
545,'2019/02/13 09:20:51:755',3,17,22,166,166,3
546,'2019/02/13 09:20:51:880',3,18,23,166,166,3
547,'2019/02/13 09:20:52:010',3,20,25,164,164,3
548,'2019/02/13 09:20:52:123',3,23,28,161,161,3
549,'2019/02/13 09:20:52:248',3,21,30,163,163,3
550,'2019/02/13 09:20:52:373',3,22,35,166,166,3
551,'2019/02/13 09:20:52:500',3,25,40,165,165,3
552,'2019/02/13 09:20:52:625',3,25,41,169,169,3
553,'2019/02/13 09:20:52:750',3,29,46,167,167,3
554,'2019/02/13 09:20:52:875',3,31,50,166,166,3
555,'2019/02/13 09:20:53:002',3,33,49,168,168,3
556,'2019/02/13 09:20:53:123',3,34,49,166,166,3
557,'2019/02/13 09:20:53:248',3,33,50,164,164,3
558,'2019/02/13 09:20:53:373',3,29,49,164,164,3
559,'2019/02/13 09:20:53:501',3,26,50,163,163,3
560,'2019/02/13 09:20:53:626',3,24,48,163,163,3
561,'2019/02/13 09:20:53:751',3,18,49,162,162,3
562,'2019/02/13 09:20:53:876',3,13,47,161,161,3
563,'2019/02/13 09:20:54:007',3,9,47,157,157,3
564,'2019/02/13 09:20:54:124',3,7,47,155,155,3
565,'2019/02/13 09:20:54:249',3,5,49,152,152,3
566,'2019/02/13 09:20:54:374',3,6,49,152,152,3
567,'2019/02/13 09:20:54:501',3,6,46,154,154,3
568,'2019/02/13 09:20:54:626',3,5,46,153,153,3
569,'2019/02/13 09:20:54:750',3,5,40,150,150,3
570,'2019/02/13 09:20:54:875',3,6,34,151,151,3
571,'2019/02/13 09:20:55:004',3,5,30,145,145,3
572,'2019/02/13 09:20:55:123',3,3,27,146,146,3
573,'2019/02/13 09:20:55:244',3,4,26,141,141,3
574,'2019/02/13 09:20:55:369',3,4,22,148,148,3
575,'2019/02/13 09:20:55:525',3,7,23,145,145,3
576,'2019/02/13 09:20:55:681',3,8,22,151,151,3
577,'2019/02/13 09:20:55:838',3,14,22,154,154,3
578,'2019/02/13 09:20:55:977',3,18,19,158,158,3
579,'2019/02/13 09:20:56:093',3,21,19,160,160,3
580,'2019/02/13 09:20:56:218',3,22,19,164,164,3
581,'2019/02/13 09:20:56:343',3,24,21,162,162,3
582,'2019/02/13 09:20:56:484',3,23,23,162,162,3
583,'2019/02/13 09:20:56:596',3,21,30,162,162,3
584,'2019/02/13 09:20:56:721',3,20,36,163,163,3
585,'2019/02/13 09:20:56:846',3,19,42,164,164,3
586,'2019/02/13 09:20:56:990',3,21,49,162,162,3
587,'2019/02/13 09:20:57:107',3,20,49,166,166,3
588,'2019/02/13 09:20:57:261',3,20,53,164,164,3
589,'2019/02/13 09:20:57:386',3,16,50,163,163,3
590,'2019/02/13 09:20:57:511',3,11,48,161,161,3
591,'2019/02/13 09:20:57:636',3,4,45,159,159,3
592,'2019/02/13 09:20:57:760',3,3,46,154,154,3
593,'2019/02/13 09:20:57:885',3,1,49,144,144,3
594,'2019/02/13 09:20:58:271',3,1,41,138,138,3
595,'2019/02/13 09:20:58:396',3,0,36,142,142,3
596,'2019/02/13 09:20:58:506',3,3,31,142,142,3
597,'2019/02/13 09:20:58:631',3,4,25,150,150,3
598,'2019/02/13 09:20:58:756',3,8,25,145,145,3
599,'2019/02/13 09:20:58:881',3,8,19,152,152,3
600,'2019/02/13 09:20:59:014',3,11,20,150,150,3
601,'2019/02/13 09:20:59:139',3,14,18,154,154,3
602,'2019/02/13 09:20:59:259',3,16,19,157,157,3
603,'2019/02/13 09:20:59:384',3,20,21,154,154,3
604,'2019/02/13 09:20:59:509',3,21,24,154,154,3
605,'2019/02/13 09:20:59:634',3,23,26,152,152,3
606,'2019/02/13 09:20:59:759',3,24,26,153,153,3
607,'2019/02/13 09:20:59:884',3,25,26,153,153,3
608,'2019/02/13 09:21:05:907',4,159,32,150,150,4
609,'2019/02/13 09:21:06:030',4,160,38,149,149,4
610,'2019/02/13 09:21:06:155',4,160,42,148,148,4
611,'2019/02/13 09:21:06:655',4,154,56,156,156,4
612,'2019/02/13 09:21:07:515',4,131,52,172,172,4
613,'2019/02/13 09:21:07:640',4,126,52,169,169,4
614,'2019/02/13 09:21:07:765',4,120,49,170,170,4
615,'2019/02/13 09:21:07:890',4,117,41,171,171,4
616,'2019/02/13 09:21:08:015',4,113,32,179,179,4
617,'2019/02/13 09:21:08:140',4,116,30,173,173,4
618,'2019/02/13 09:21:08:265',4,112,24,175,175,4
619,'2019/02/13 09:21:08:390',4,115,23,171,171,4
620,'2019/02/13 09:21:08:515',4,114,21,172,172,4
621,'2019/02/13 09:21:08:640',4,117,20,168,168,4
622,'2019/02/13 09:21:08:765',4,119,18,168,168,4
623,'2019/02/13 09:21:08:890',4,118,17,165,165,4
624,'2019/02/13 09:21:09:013',4,117,14,170,170,4
625,'2019/02/13 09:21:09:138',4,119,14,169,169,4
626,'2019/02/13 09:21:09:263',4,122,14,168,168,4
627,'2019/02/13 09:21:09:373',4,126,15,165,165,4
628,'2019/02/13 09:21:09:500',4,132,16,163,163,4
629,'2019/02/13 09:21:09:625',4,139,16,162,162,4
630,'2019/02/13 09:21:09:750',4,144,16,160,160,4
631,'2019/02/13 09:21:09:875',4,152,16,157,157,4
632,'2019/02/13 09:21:12:348',4,154,57,156,156,4
633,'2019/02/13 09:21:12:473',4,145,52,160,160,4
634,'2019/02/13 09:21:12:583',4,136,45,168,168,4
635,'2019/02/13 09:21:12:708',4,133,43,166,166,4
636,'2019/02/13 09:21:12:833',4,125,38,169,169,4
637,'2019/02/13 09:21:12:970',4,121,38,168,168,4
638,'2019/02/13 09:21:13:091',4,115,34,174,174,4
639,'2019/02/13 09:21:13:216',4,115,33,170,170,4
640,'2019/02/13 09:21:13:326',4,112,28,173,173,4
641,'2019/02/13 09:21:13:453',4,111,22,177,177,4
642,'2019/02/13 09:21:13:578',4,110,19,176,176,4
643,'2019/02/13 09:21:13:703',4,111,15,170,170,4
644,'2019/02/13 09:21:13:828',4,113,13,166,166,4
645,'2019/02/13 09:21:13:954',4,113,9,163,163,4
646,'2019/02/13 09:21:14:076',4,115,7,159,159,4
647,'2019/02/13 09:21:14:201',4,117,6,157,157,4
648,'2019/02/13 09:21:14:310',4,117,7,159,159,4
649,'2019/02/13 09:21:14:439',4,126,7,159,159,4
650,'2019/02/13 09:21:14:564',4,130,8,160,160,4
651,'2019/02/13 09:21:14:689',4,134,8,160,160,4
652,'2019/02/13 09:21:14:814',4,139,9,157,157,4
653,'2019/02/13 09:21:14:939',4,144,10,157,157,4
654,'2019/02/13 09:21:15:062',4,145,10,159,159,4
655,'2019/02/13 09:21:15:187',4,150,11,155,155,4
656,'2019/02/13 09:21:15:312',4,156,9,152,152,4
657,'2019/02/13 09:21:15:440',4,169,11,140,140,4
658,'2019/02/13 09:21:16:076',4,156,4,151,151,4
659,'2019/02/13 09:21:16:201',4,140,3,155,155,4
660,'2019/02/13 09:21:16:326',4,130,4,153,153,4
661,'2019/02/13 09:21:16:440',4,119,6,155,155,4
662,'2019/02/13 09:21:16:563',4,108,7,158,158,4
663,'2019/02/13 09:21:16:688',4,102,8,158,158,4
664,'2019/02/13 09:21:16:813',4,101,9,159,159,4
665,'2019/02/13 09:21:16:938',4,99,14,167,167,4
666,'2019/02/13 09:21:17:061',4,94,23,178,178,4
667,'2019/02/13 09:21:17:186',4,96,34,175,175,4
668,'2019/02/13 09:21:17:311',4,98,48,168,168,4
669,'2019/02/13 09:21:17:437',4,99,46,174,174,4
670,'2019/02/13 09:21:17:562',4,103,49,173,173,4
671,'2019/02/13 09:21:17:687',4,106,49,172,172,4
672,'2019/02/13 09:21:17:812',4,116,50,170,170,4
673,'2019/02/13 09:21:17:921',4,124,45,171,171,4
674,'2019/02/13 09:21:18:045',4,138,43,166,166,4
675,'2019/02/13 09:21:18:183',4,150,42,156,156,4
676,'2019/02/13 09:21:18:297',4,156,44,153,153,4
677,'2019/02/13 09:21:19:532',4,165,11,145,145,4
678,'2019/02/13 09:21:19:657',4,154,8,154,154,4
679,'2019/02/13 09:21:19:781',4,146,11,159,159,4
680,'2019/02/13 09:21:19:922',4,138,13,162,162,4
681,'2019/02/13 09:21:20:045',4,132,13,163,163,4
682,'2019/02/13 09:21:20:170',4,125,14,164,164,4
683,'2019/02/13 09:21:20:295',4,125,16,165,165,4
684,'2019/02/13 09:21:20:420',4,126,14,169,169,4
685,'2019/02/13 09:21:20:541',4,136,13,162,162,4
686,'2019/02/13 09:21:20:666',4,143,9,162,162,4
687,'2019/02/13 09:21:20:791',4,152,8,160,160,4
688,'2019/02/13 09:21:21:519',4,152,8,157,157,4
689,'2019/02/13 09:21:21:644',4,141,9,161,161,4
690,'2019/02/13 09:21:21:769',4,136,9,162,162,4
691,'2019/02/13 09:21:21:894',4,132,11,161,161,4
692,'2019/02/13 09:21:22:015',4,131,10,162,162,4
693,'2019/02/13 09:21:22:140',4,132,11,160,160,4
